SafePrime,Residus2310,SophieGermain,InSAFE,InSG
1000667,437,False,True,False
1000919,689,False,True,False
1001003,773,False,True,False
1001159,929,False,True,False
1001387,1157,False,True,False
1001447,1217,False,True,False
1001459,1229,True,True,True
1001723,1493,True,True,True
1001783,1553,False,True,True
1002263,2033,False,True,False
1002347,2117,False,True,False
1002467,2237,False,True,False
1002767,227,False,True,False
1003463,923,False,True,True
1003907,1367,False,True,False
1003943,1403,False,True,False
1004027,1487,False,True,False
1004363,1823,False,True,False
1004903,53,True,True,True
1005107,257,False,True,False
1005287,437,False,True,False
1006007,1157,False,True,False
1006463,1613,False,True,False
1006739,1889,False,True,True
1006847,1997,False,True,False
1006883,2033,False,True,False
1007099,2249,False,True,False
1007243,83,True,True,True
1007759,599,False,True,False
1007939,779,True,True,True
1008419,1259,False,True,False
1008719,1559,False,True,True
1008779,1619,False,True,True
1008923,1763,False,True,True
1008947,1787,False,True,False
1009199,2039,False,True,True
1009343,2183,False,True,False
1009643,173,False,True,True
1009787,317,False,True,False
1009859,389,False,True,True
1010567,1097,False,True,False
1010627,1157,False,True,False
1011239,1769,False,True,True
1012679,899,False,True,False
1012703,923,False,True,True
1012763,983,False,True,False
1012919,1139,False,True,True
1013003,1223,False,True,True
1013063,1283,False,True,True
1013399,1619,True,True,True
1013687,1907,False,True,False
1014719,629,True,True,True
1014743,653,False,True,True
1014863,773,False,True,False
1015199,1109,False,True,False
1015559,1469,False,True,True
1015907,1817,False,True,False
1016663,263,True,True,True
1016879,479,False,True,False
1017119,719,True,True,True
1017323,923,False,True,True
1017623,1223,False,True,True
1017683,1283,False,True,True
1017827,1427,False,True,False
1017923,1523,False,True,False
1018247,1847,False,True,False
1018859,149,True,True,True
1019267,557,False,True,False
1019399,689,False,True,False
1019687,977,False,True,False
1019819,1109,False,True,False
1019927,1217,False,True,False
1020407,1697,False,True,False
1020599,1889,True,True,True
1021367,347,False,True,False
1022123,1103,False,True,True
1022303,1283,False,True,True
1022387,1367,False,True,False
1023047,2027,False,True,False
1023083,2063,False,True,True
1023167,2147,False,True,False
1023263,2243,False,True,False
1023719,389,True,True,True
1025147,1817,False,True,False
1025327,1997,False,True,False
1025483,2153,False,True,True
1025807,167,False,True,False
1026119,479,False,True,False
1026167,527,False,True,False
1026407,767,False,True,False
1026479,839,True,True,True
1026947,1307,False,True,False
1027067,1427,False,True,False
1027679,2039,False,True,True
1027799,2159,False,True,False
1028003,53,True,True,True
1028099,149,False,True,True
1028207,257,False,True,False
1028579,629,False,True,True
1028999,1049,True,True,True
1029467,1517,False,True,False
1029647,1697,False,True,False
1030307,47,False,True,False
1030703,443,False,True,True
1030739,479,False,True,False
1030763,503,False,True,True
1031279,1019,False,True,True
1031483,1223,False,True,True
1032047,1787,False,True,False
1032107,1847,False,True,False
1032419,2159,False,True,False
1032467,2207,False,True,False
1033079,509,False,True,True
1033127,557,False,True,False
1033223,653,True,True,True
1033427,857,False,True,False
1033679,1109,False,True,False
1034123,1553,False,True,True
1034147,1577,False,True,False
1034183,1613,False,True,False
1034339,1769,False,True,True
1035107,227,False,True,False
1035467,587,False,True,False
1035479,599,False,True,False
1036247,1367,False,True,False
1036307,1427,False,True,False
1036319,1439,False,True,True
1036499,1619,False,True,True
1036943,2063,False,True,True
1037087,2207,False,True,False
1037627,437,False,True,False
1037963,773,False,True,False
1038263,1073,False,True,True
1038539,1349,False,True,True
1038707,1517,False,True,False
1038827,1637,False,True,False
1039043,1853,False,True,False
1039427,2237,False,True,False
1039607,107,False,True,False
1039763,263,False,True,True
1039943,443,False,True,True
1039979,479,False,True,False
1040387,887,False,True,False
1040483,983,False,True,False
1041779,2279,False,True,True
1042043,233,False,True,True
1042103,293,False,True,True
1042487,677,False,True,False
1042619,809,False,True,True
1042799,989,True,True,True
1043639,1829,False,True,True
1043663,1853,False,True,False
1043723,1913,False,True,True
1043759,1949,False,True,False
1044167,47,False,True,False
1044227,107,False,True,False
1044383,263,False,True,True
1044479,359,False,True,True
1044767,647,False,True,False
1045043,923,False,True,True
1045523,1403,False,True,False
1045679,1559,False,True,True
1045763,1643,False,True,True
1046807,377,False,True,False
1046867,437,False,True,False
1047107,677,False,True,False
1047587,1157,False,True,False
1048127,1697,False,True,False
1048343,1913,True,True,True
1048703,2273,False,True,True
1049039,299,True,True,True
1049183,443,False,True,True
1049339,599,False,True,False
1049603,863,False,True,False
1049663,923,True,True,True
1049747,1007,False,True,False
1049843,1103,False,True,True
1049963,1223,True,True,True
1049999,1259,False,True,False
1051283,233,True,True,True
1051619,569,True,True,True
1051847,797,False,True,False
1052099,1049,False,True,True
1052279,1229,False,True,True
1052567,1517,False,True,False
1052747,1697,False,True,False
1053407,47,False,True,False
1053467,107,False,True,False
1053707,347,False,True,False
1053827,467,False,True,False
1053863,503,False,True,True
1054199,839,False,True,True
1054247,887,False,True,False
1054259,899,False,True,False
1054583,1223,True,True,True
1054667,1307,False,True,False
1055267,1907,False,True,False
1055399,2039,False,True,True
1056599,929,False,True,False
1056659,989,False,True,True
